Gene,Cluster
SLC4A5,0
HIST1H1C,0
PIK3R6,0
TSC22D3,0
COG5,0
PLAU,0
HOXB5,0
MCTP1,0
ANGPT4,0
NUP210,0
GFOD1,0
SLC39A11,0
LPL,0
CISH,0
DUXAP8,0
RPL7P6,0
RFC3,0
RBM14.RBM4,0
CDC42EP3,0
PLAC8,0
LIG3,0
TMEM223,0
SLC29A3,0
SIVA1,0
SMYD3,0
POLR2B,0
UBXN11,0
ANKS6,0
RPS3AP26,0
GNG2,0
RPL41P2,0
PHACTR1,0
GNG4,0
CTNNA1,0
CYP17A1,0
ETFDH,0
CLOCK,0
KLHL4,0
HIST2H2AA3,0
