Gene,Cluster
RPL12P4,3
SEL1L3,3
OTUD1,3
RHOBTB2,3
CTSL,3
HSP90B1,3
MCM5,3
MSI2,3
MCM3,3
IL24,3
CITED2,3
STX11,3
CD276,3
CCL4,3
USP18,4
CRIM1,3
SIAE,3
TGIF1,3
DDIT4,3
NOL4L,3
FKBP5,3
ATP2B1,3
RARRES3,3
TM4SF19,3
FCRL4,3
FAM47E.STBD1,3
SH3BP5,3
SLC4A5,3
HIST1H1C,3
PIK3R6,4
TSC22D3,3
COG5,3
PLAU,3
HOXB5,3
MCTP1,3
ANGPT4,3
NUP210,3
GFOD1,3
SLC39A11,3
LPL,3
CISH,3
DUXAP8,3
RPL7P6,3
RFC3,3
RBM14.RBM4,3
CDC42EP3,3
PLAC8,3
LIG3,3
TMEM223,3
SLC29A3,3
SIVA1,4
SMYD3,3
POLR2B,3
UBXN11,3
ANKS6,3
RPS3AP26,3
GNG2,3
RPL41P2,4
PHACTR1,3
GNG4,3
CTNNA1,3
CYP17A1,3
ETFDH,3
CLOCK,3
KLHL4,3
HIST2H2AA3,3
SLC16A1,3
CBWD4P,3
TNFRSF10D,3
CCL7,3
CITED4,3
HLA.DMB,3
CD9,3
MAFB,3
SH3PXD2A,3
RUNX2,3
SLC44A1,3
OVCA2,3
SLC29A1,3
DNAJC9,3
PLPP1,3
MCUB,3
F3,3
NBAS,3
CSF1R,3
CLU,3
CD226,3
TTF2,3
RPL5P4,3
RAB20,3
PHEX,3
CD300LB,3
NBPF11,3
SLC6A12,3
SRGAP1,3
PPARGC1B,3
HMGB2,3
ST3GAL6,3
FBXO32,3
RASA1,3
ADAM17,3
PLTP,3
RPL26P19,3
LAMB3,3
ESRRA,3
AREG,3
RHOBTB3,3
NASP,3
SAMD11,3
WDR6,3
GTF2I,4
GSTM4,3
TVP23B,3
DLX2,3
CKS1B,3
FAM20C,3
CEBPE,3
FANCD2,3
SLC16A6,3
RFLNB,3
ATP2B4,3
CXCR5,3
BRI3BP,3
PXDNL,3
MTND2P28,3
ADORA3,3
MYBPH,3
GATA2,3
SPINK1,3
ACTN1,3
PYCR1,3
NCAM1,3
CCL20,3
CNTD1,3
SLC9A3R1,3
CPNE2,3
SERPING1,3
PIP4P2,3
ZC3H12C,3
FBP1,3
MCM2,3
TUBA4A,3
TMEM217,3
ATP2B2,3
RNASEK.C17orf49,3
ARHGEF3,3
PM20D2,3
FCGRT,3
HES6,3
KALRN,3
MCRIP2,3
RPL15P3,3
SLC39A8,3
EEF1A1P5,3
ITK,3
ATAD2,3
CCSAP,3
H2AFX,3
GABBR1,3
LRRC8A,3
TIAM1,3
PAX8.AS1,3
RHNO1,3
EIF3CL,3
GPAT3,3
H3F3BP1,4
MCM6,3
RBBP8,3
TMIGD3,3
BMP7,3
CD6,3
MXD1,3
TOGARAM2,3
TMEM97,3
PLIN2,3
HNRNPA1L2,3
S1PR3,3
GNG10,3
NETO2,3
JCHAIN,3
PLCL1,3
RPL21P75,3
FCRLA,3
MPP6,3
DHFR,3
DGKE,3
DRAM1,3
CXorf40B,3
FTH1P5,3
EEF1B2P3,3
KCNJ2,3
STC2,3
FAM102A,3
CCRL2,3
SLIT3,3
FOXO1,3
S100A8,3
PPIAP29,3
OR2I1P,3
GEM,3
ADCY3,3
LBHD1,3
MGAT4A,3
ZWINT,3
MCM3AP,3
CLEC5A,3
RPS7P1,3
URGCP.MRPS24,3
HMGB1P5,3
AQP9,3
TSPAN3,3
LAT,3
RPL13P12,3
ZFYVE16,3
FTH1P10,3
PHC1,3
FAM86DP,3
NPIPA7,3
NPIPA8,3
GFI1,3
WIPF3,3
OLIG2,3
RPL5P34,3
SOCS6,3
UBE2T,3
FYN,3
PUS7,3
CHRM5,3
MIR181A1HG,3
RPS3AP5,3
CD1A,3
SMN1,3
SERPINE1,3
CDCA8,3
SLC39A14,3
UBE2S,3
PHKG1,3
ITM2A,3
TNFRSF9,3
SIGLEC17P,3
HNRNPA1P48,3
CENPP,3
ANKRD33B,3
FGFR1,3
SEC14L2,3
LOXL3,3
TMEM52B,3
DSE,3
IL21R,3
ASIC1,3
CCL3L1,3
B4GALT1.AS1,3
TMEM189.UBE2V1,3
MYO7B,3
LILRB2,3
RDH10,3
CCDC30,3
PDGFRA,3
CLEC4A,3
GSN.AS1,3
F8A3,3
POU4F1,3
LIMA1,3
S100P,3
DENND2D,3
RPL14P1,3
MAD2L1,3
ARL2.SNX15,3
APOL4,3
ACTL8,3
FGFBP2,3
GPR34,3
ANKHD1.EIF4EBP3,3
UNG,3
HMGB3,3
S100A9,3
CTNNAL1,3
CSF2,3
TOMM40L,3
INPP4B,3
YPEL1,3
NDRG1,3
FANCI,3
CD5L,3
STARD4.AS1,3
TIGAR,3
RSPH10B2,3
PTTG1,3
SORBS1,3
GMNN,3
MYH14,3
RHOXF2,3
FADS1,3
CEP78,3
MMD,3
ATP6V0D2,3
CD109,3
MCM7,3
BNIP3,3
NSD2,3
TM4SF19.TCTEX1D2,3
SLFN11,3
SPEG,3
FTH1P11,3
TNFSF15,3
MCM4,3
QPCT,3
MSANTD3,3
SIGLEC10,3
NMB,3
RPLP0P6,3
NBPF9,3
KIT,3
CENPF,3
STEAP3,3
CENPM,3
